Statistikdatum,Region,Cases
2020-08-08,Blekinge,4
2020-08-09,Blekinge,1
2020-08-10,Blekinge,7
2020-08-11,Blekinge,11
2020-08-12,Blekinge,10
2020-08-13,Blekinge,9
2020-08-14,Blekinge,4
2020-08-15,Blekinge,4
2020-08-16,Blekinge,1
2020-08-17,Blekinge,1
2020-08-18,Blekinge,2
2020-08-19,Blekinge,11
2020-08-20,Blekinge,3
2020-08-21,Blekinge,3
2020-08-22,Blekinge,2
2020-08-23,Blekinge,0
2020-08-24,Blekinge,0
2020-08-25,Blekinge,2
2020-08-26,Blekinge,4
2020-08-27,Blekinge,1
2020-08-28,Blekinge,6
2020-08-29,Blekinge,2
2020-08-30,Blekinge,0
2020-08-31,Blekinge,0
2020-09-01,Blekinge,1
2020-09-02,Blekinge,0
2020-09-03,Blekinge,0
2020-09-04,Blekinge,1
2020-09-05,Blekinge,0
2020-09-06,Blekinge,1
2020-09-07,Blekinge,0
2020-09-08,Blekinge,3
2020-09-09,Blekinge,1
2020-09-10,Blekinge,0
2020-09-11,Blekinge,0
2020-09-12,Blekinge,0
2020-09-13,Blekinge,0
2020-09-14,Blekinge,1
2020-09-15,Blekinge,4
2020-09-16,Blekinge,1
2020-09-17,Blekinge,4
2020-09-18,Blekinge,0
2020-09-19,Blekinge,3
2020-09-20,Blekinge,1
2020-09-21,Blekinge,15
2020-09-22,Blekinge,12
2020-09-23,Blekinge,17
2020-09-24,Blekinge,4
2020-09-25,Blekinge,20
2020-09-26,Blekinge,1
2020-09-27,Blekinge,9
2020-09-28,Blekinge,2
2020-09-29,Blekinge,17
2020-09-30,Blekinge,15
2020-10-01,Blekinge,10
2020-10-02,Blekinge,7
2020-10-03,Blekinge,17
2020-10-04,Blekinge,4
2020-10-05,Blekinge,2
2020-10-06,Blekinge,14
2020-10-07,Blekinge,3
2020-10-08,Blekinge,23
2020-10-09,Blekinge,3
2020-10-10,Blekinge,15
2020-10-11,Blekinge,1
2020-10-12,Blekinge,1
2020-10-13,Blekinge,7
2020-10-14,Blekinge,0
2020-02-05,Dalarna,0
2020-02-06,Dalarna,0
2020-02-07,Dalarna,0
2020-02-08,Dalarna,0
2020-02-09,Dalarna,0
2020-02-10,Dalarna,0
2020-02-11,Dalarna,0
2020-02-12,Dalarna,0
2020-02-13,Dalarna,0
2020-02-14,Dalarna,0
2020-02-15,Dalarna,0
2020-02-16,Dalarna,0
2020-02-17,Dalarna,0
2020-02-18,Dalarna,0
2020-02-19,Dalarna,0
2020-02-20,Dalarna,0
2020-02-21,Dalarna,0
2020-02-22,Dalarna,0
2020-02-23,Dalarna,0
2020-02-24,Dalarna,0
2020-02-25,Dalarna,0
2020-02-26,Dalarna,0
2020-02-27,Dalarna,0
2020-02-28,Dalarna,0
2020-02-29,Dalarna,0
2020-03-01,Dalarna,0
2020-03-02,Dalarna,0
2020-03-03,Dalarna,0
2020-03-04,Dalarna,0
2020-03-05,Dalarna,0
2020-03-06,Dalarna,0
2020-03-07,Dalarna,0
2020-03-08,Dalarna,0
2020-03-09,Dalarna,0
2020-03-10,Dalarna,0
2020-03-11,Dalarna,1
2020-03-12,Dalarna,3
2020-03-13,Dalarna,1
2020-03-14,Dalarna,0
2020-03-15,Dalarna,0
2020-03-16,Dalarna,0
2020-03-17,Dalarna,3
2020-03-18,Dalarna,2
2020-03-19,Dalarna,2
2020-03-20,Dalarna,5
2020-03-21,Dalarna,0
2020-03-22,Dalarna,5
2020-03-23,Dalarna,9
2020-03-24,Dalarna,9
2020-03-25,Dalarna,13
2020-03-26,Dalarna,8
2020-03-27,Dalarna,15
2020-03-28,Dalarna,6
2020-03-29,Dalarna,10
2020-03-30,Dalarna,9
2020-03-31,Dalarna,23
2020-04-01,Dalarna,19
2020-04-02,Dalarna,6
2020-04-03,Dalarna,20
2020-04-04,Dalarna,18
2020-04-05,Dalarna,7
2020-04-06,Dalarna,16
2020-04-07,Dalarna,28
2020-04-08,Dalarna,28
2020-04-09,Dalarna,30
2020-04-10,Dalarna,17
2020-04-11,Dalarna,9
2020-04-12,Dalarna,31
2020-04-13,Dalarna,12
2020-04-14,Dalarna,12
2020-04-15,Dalarna,28
2020-04-16,Dalarna,25
2020-04-17,Dalarna,26
2020-04-18,Dalarna,27
2020-04-19,Dalarna,8
2020-04-20,Dalarna,10
2020-04-21,Dalarna,35
2020-04-22,Dalarna,33
2020-04-23,Dalarna,41
2020-04-24,Dalarna,29
2020-04-25,Dalarna,45
2020-04-26,Dalarna,5
2020-04-27,Dalarna,8
2020-04-28,Dalarna,35
2020-04-29,Dalarna,52
2020-04-30,Dalarna,14
2020-05-01,Dalarna,2
2020-05-02,Dalarna,1
2020-05-03,Dalarna,3
2020-05-04,Dalarna,64
2020-05-05,Dalarna,28
2020-05-06,Dalarna,22
2020-05-07,Dalarna,19
2020-05-08,Dalarna,16
2020-05-09,Dalarna,11
2020-05-10,Dalarna,4
2020-05-11,Dalarna,3
2020-05-12,Dalarna,18
2020-05-13,Dalarna,21
2020-05-14,Dalarna,15
2020-05-15,Dalarna,10
2020-05-16,Dalarna,1
2020-05-17,Dalarna,17
2020-05-18,Dalarna,9
2020-05-19,Dalarna,2
2020-05-20,Dalarna,31
2020-05-21,Dalarna,17
2020-05-22,Dalarna,5
2020-05-23,Dalarna,13
2020-05-24,Dalarna,7
2020-05-25,Dalarna,3
2020-05-26,Dalarna,18
2020-05-27,Dalarna,16
2020-05-28,Dalarna,16
2020-05-29,Dalarna,10
2020-05-30,Dalarna,15
2020-05-31,Dalarna,5
2020-06-01,Dalarna,7
2020-06-02,Dalarna,23
2020-06-03,Dalarna,14
2020-06-04,Dalarna,13
2020-06-05,Dalarna,20
2020-06-06,Dalarna,16
2020-06-07,Dalarna,6
2020-06-08,Dalarna,9
2020-06-09,Dalarna,17
2020-06-10,Dalarna,17
2020-06-11,Dalarna,9
2020-06-12,Dalarna,13
2020-06-13,Dalarna,6
2020-06-14,Dalarna,4
2020-06-15,Dalarna,3
2020-06-16,Dalarna,7
2020-06-17,Dalarna,6
2020-06-18,Dalarna,16
2020-06-19,Dalarna,20
2020-06-20,Dalarna,5
2020-06-21,Dalarna,3
2020-06-22,Dalarna,11
2020-06-23,Dalarna,29
2020-06-24,Dalarna,30
2020-06-25,Dalarna,29
2020-06-26,Dalarna,34
2020-06-27,Dalarna,31
2020-06-28,Dalarna,3
2020-06-29,Dalarna,3
2020-06-30,Dalarna,33
2020-07-01,Dalarna,32
2020-07-02,Dalarna,46
2020-07-03,Dalarna,25
2020-07-04,Dalarna,14
2020-07-05,Dalarna,25
2020-07-06,Dalarna,2
2020-07-07,Dalarna,9
2020-07-08,Dalarna,22
2020-07-09,Dalarna,13
